Seed,#,Instanz,Preset,Test,Start,Final,Imp %,Gen,Gen %
3086084114,0,A-n32-k5,small1,0,879,844,3.98,860000,43.0
3086084114,1,A-n48-k7,small1,0,1374,1174,14.56,640000,32.0
3086084114,2,A-n61-k9,small1,0,1433,1153,19.54,540000,27.0
3086084114,3,A-n69-k9,small1,0,1696,1368,19.34,540000,27.0
3086084114,4,A-n80-k10,small1,0,2347,1940,17.34,520000,26.0
3086084114,5,M-n121-k7,small1,0,1699,1494,12.07,340000,17.0
3086084114,6,M-n200-k17,small1,0,3408,2147,37.0,220000,11.0
3086084114,7,P-n101-k4,small1,0,834,767,8.03,600000,30.0
3086084114,8,P-n16-k8,small1,0,450,450,0.0,1540000,77.0
3086084114,9,P-n76-k5,small1,0,780,650,16.67,820000,41.0
